Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,Rating,Review,Category,Size,Type,Price,Content Rating,Genres,Android Ver
2,1.0,0.5333333333333333,4.0,like eat delicious food cooking food case best foods helps lot also best shelf life,15,3.8,0,0.0,2,59,8
2,0.25,0.2884615384615384,4.0,help eating healthy exercise regular basis,15,3.8,0,0.0,2,59,8
2,0.4,0.875,4.0,works great especially going grocery store,15,3.8,0,0.0,2,59,8
2,1.0,0.3,4.0,best idea us,15,3.8,0,0.0,2,59,8
2,1.0,0.3,4.0,best way,15,3.8,0,0.0,2,59,8
2,0.6000000000000001,0.9,4.0,amazing,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,looking forward app,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,helpful site help foods get,15,3.8,0,0.0,2,59,8
2,0.7,0.6000000000000001,4.0,good,15,3.8,0,0.0,2,59,8
2,0.2,0.1,4.0,useful information amount spelling errors questions validity information shared fixed stars given,15,3.8,0,0.0,2,59,8
2,0.75,0.875,4.0,thank great app add arthritis eyes immunity detox foods please,15,3.8,0,0.0,2,59,8
2,0.9921875,0.8666666666666667,4.0,greatest ever completely awesome maintain health must ppl love,15,3.8,0,0.0,2,59,8
2,0.5499999999999999,0.5111111111111112,4.0,good health good health first priority,15,3.8,0,0.0,2,59,8
2,0.45,1.0,4.0,health important world either life think,15,3.8,0,0.0,2,59,8
2,0.6,0.6666666666666666,4.0,mrs sunita bhati thankful developers make kind app really good healthy food body,15,3.8,0,0.0,2,59,8
2,0.295,0.1,4.0,useful diabetes age need control sugar thanks,15,3.8,0,0.0,2,59,8
2,1.0,1.0,4.0,one greatest apps,15,3.8,0,0.0,2,59,8
2,0.6499999999999999,0.8,4.0,good nice,15,3.8,0,0.0,2,59,8
2,0.35,0.35,4.0,healthy really helped,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,god health,15,3.8,0,0.0,2,59,8
2,0.78125,0.5,4.0,health always top priority,15,3.8,0,0.0,2,59,8
2,0.65,0.5,4.0,excellent useful,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,found lot wealth form health,15,3.8,0,0.0,2,59,8
2,0.4,1.0,4.0,found important,15,3.8,0,0.0,2,59,8
2,0.5,0.5,4.0,healthy eating,15,3.8,0,0.0,2,59,8
2,0.8049999999999999,0.6900000000000002,4.0,good simply good,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,test,15,3.8,0,0.0,2,59,8
2,0.2,0.2,4.0,thanks advice downloaded adobe reader still ca get recipe book,15,3.8,0,0.0,2,59,8
0,-0.5,0.5,4.0,recipe book unable recipe book,15,3.8,0,0.0,2,59,8
2,0.45,0.75,4.0,absolutely fabulous phenomenal,15,3.8,0,0.0,2,59,8
2,0.65,0.675,4.0,great love food,15,3.8,0,0.0,2,59,8
2,0.6,0.6,4.0,excellent really works,15,3.8,0,0.0,2,59,8
2,1.0,0.3,4.0,best,15,3.8,0,0.0,2,59,8
2,0.1866161616161616,0.3563131313131313,4.0,wealth information informative easy understand ads middle page interupted read update ad comment objection ads literally position ads smack dab middle new spartphones apps didnt know click eveything saw full review,15,3.8,0,0.0,2,59,8
2,0.7,0.6000000000000001,4.0,description good,15,3.8,0,0.0,2,59,8
2,0.65,0.675,4.0,great app love,15,3.8,0,0.0,2,59,8
2,0.7,0.6000000000000001,4.0,good,15,3.8,0,0.0,2,59,8
2,0.4499999999999999,0.55,4.0,loved helpful,15,3.8,0,0.0,2,59,8
2,0.6,0.55,4.0,good healthy foods,15,3.8,0,0.0,2,59,8
0,-0.2,0.0,4.0,waste time needs internet time n ask calls information,15,3.8,0,0.0,2,59,8
2,0.5,0.15,4.0,best thing lost ten lbs two months help tips,15,3.8,0,0.0,2,59,8
2,0.44375,0.4125,4.0,ten best food promote good health good health essential long healthy lifestyle make habit eat foods promote good health eat fruits veggies every day,15,3.8,0,0.0,2,59,8
2,0.5666666666666667,0.5333333333333333,4.0,healthy food really good information eat healthy,15,3.8,0,0.0,2,59,8
2,0.55,0.8,4.0,mom dad important thing good share,15,3.8,0,0.0,2,59,8
2,0.1,0.15,4.0,big thanks ds got bst gd health,15,3.8,0,0.0,2,59,8
2,0.75,0.525,4.0,lovely best everyone needs,15,3.8,0,0.0,2,59,8
2,0.3,0.8,4.0,love lost far,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,like,15,3.8,0,0.0,2,59,8
2,0.2,0.2,4.0,thanks helpful app,15,3.8,0,0.0,2,59,8
2,0.7,0.6000000000000001,4.0,good food really good eat,15,3.8,0,0.0,2,59,8
2,0.2,0.2,4.0,thanks thank u much,15,3.8,0,0.0,2,59,8
2,0.6,0.6000000000000001,4.0,love really good,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,helpful,15,3.8,0,0.0,2,59,8
2,0.5,0.6,4.0,love,15,3.8,0,0.0,2,59,8
2,0.39,0.0,4.0,useful,15,3.8,0,0.0,2,59,8
2,0.65,0.675,4.0,great love,15,3.8,0,0.0,2,59,8
2,0.2,0.3,4.0,informative,15,3.8,0,0.0,2,59,8
1,0.0,0.0,4.0,luv,15,3.8,0,0.0,2,59,8
